attribute,mean_robust,mean_fragile,diff,effect_size,abs_effect
slope_mean,21.09770511111111,42.073078137254896,-20.975373026143785,-0.9930286555433342,0.9930286555433342
soil_depth_pelletier,17.988548703550514,3.6389129364247457,14.349635767125768,0.9608649703153327,0.9608649703153327
elev_mean,292.0733333333333,497.36019607843144,-205.28686274509812,-0.8161506326028831,0.8161506326028831
high_prec_dur,1.208695395970185,1.1732026421588537,0.03549275381133121,0.7116542961248927,0.7116542961248927
silt_frac,37.19928492570932,44.889074932961556,-7.689790007252235,-0.6922787509112811,0.6922787509112811
low_prec_dur,3.951162507725946,3.605244401154978,0.3459181065709678,0.6626058897672102,0.6626058897672102
soil_depth_statsgo,1.3561175566949406,1.2135952436707542,0.1425223130241864,0.6128523259731392,0.6128523259731392
gvf_diff,0.4379192271986743,0.47979983762032924,-0.04188061042165492,-0.5930163533185033,0.5930163533185033
soil_porosity,0.4372904034673131,0.4485915206752006,-0.011301117207887457,-0.5905667244791074,0.5905667244791074
soil_conductivity,1.9806879913248565,1.37020868135559,0.6104793099692665,0.5895047422100912,0.5895047422100912
other_frac,6.132178635505893,1.7613563756726152,4.370822259833278,0.5401472293559479,0.5401472293559479
low_prec_freq,240.2733333333334,230.5392156862745,9.734117647058895,0.5317765442202361,0.5317765442202361
high_prec_freq,20.486666666666665,19.269117647058824,1.2175490196078407,0.4892686452892717,0.4892686452892717
geol_permeability,-14.141015555555553,-14.705354901960783,0.5643393464052302,0.47898349286469977,0.47898349286469977
frac_snow,0.12433998297264225,0.16083096435648134,-0.03649098138383909,-0.4780804262163616,0.4780804262163616
area_gages2,653.9571111111111,348.47156862745095,305.48554248366014,0.4652830097496124,0.4652830097496124
area_geospa_fabric,658.3833333333333,352.75088235294123,305.6324509803921,0.4647222984582746,0.4647222984582746
frac_forest,0.7660911111111111,0.8734950980392154,-0.10740398692810438,-0.4301935691552768,0.4301935691552768
root_depth_50,0.20065392390798406,0.1920118882333176,0.008642035674666454,0.41664974940024646,0.41664974940024646
sand_frac,40.09446628638047,34.45480577046725,5.639660515913214,0.41295201654061026,0.41295201654061026
lai_diff,3.5691675168698156,3.9260480863521434,-0.3568805694823278,-0.4053422362668193,0.4053422362668193
p_seasonality,0.0992683146702046,0.12469623130488294,-0.025427916634678346,-0.3842972150735148,0.3842972150735148
gvf_max,0.834773775820145,0.8560628823281078,-0.021289106507962785,-0.3673573242217596,0.3673573242217596
zero_q_freq,0.00031333181230511334,0.0046245281612350185,-0.004311196348929906,-0.36001357489139013,0.36001357489139013
hfd_mean,169.46994152046784,166.01930693069306,3.450634589774779,0.3381132207791237,0.3381132207791237
water_frac,0.19805664233339929,0.009022879436407335,0.18903376289699195,0.3134243973581391,0.3134243973581391
high_q_dur,2.272395491836123,1.9618933655036488,0.3105021263324741,0.31173496231770703,0.31173496231770703
baseflow_index,0.5220661148012188,0.48845966254149814,0.03360645225972064,0.30843856468126035,0.30843856468126035
dom_land_cover_frac,0.9103001869094797,0.8679642079466747,0.04233597896280494,0.29239634050658186,0.29239634050658186
organic_frac,0.04244879341135447,0.0,0.04244879341135447,0.2900421509797147,0.2900421509797147
aridity,0.7261386500533468,0.699116819071755,0.02702183098159172,0.2835722981794335,0.2835722981794335
q_mean,1.490301788743459,1.6212498206629304,-0.13094803191947135,-0.2832143678182578,0.2832143678182578
pet_mean,2.4653874776789095,2.4083751970849936,0.05701228059391594,0.27814988971723276,0.27814988971723276
runoff_ratio,0.4311509610694084,0.459049807766868,-0.027898846697459567,-0.27215561030721763,0.27215561030721763
low_q_dur,14.012479857118851,12.8853710485343,1.127108808584552,0.2595008736898899,0.2595008736898899
q95,4.988251754619434,5.414710683626109,-0.42645892900667537,-0.2462236781746223,0.2462236781746223
lai_max,4.27470968918723,4.51554526933128,-0.2408355801440507,-0.24207417760101935,0.24207417760101935
max_water_content,0.5483942312261983,0.5245023922239883,0.023891839002210036,0.2176972658770843,0.2176972658770843
clay_frac,16.447503978022816,17.80917946405206,-1.3616754860292453,-0.20543946928372445,0.20543946928372445
p_mean,3.422701802418435,3.4816041792487016,-0.05890237683026678,-0.18909235433247762,0.18909235433247762
glim_1st_class_frac,0.8263292855681915,0.8580634902590737,-0.03173420469088217,-0.16524066747565366,0.16524066747565366
glim_2nd_class_frac,0.12479937869593534,0.10732138408849298,0.017477994607442357,0.1277252523169528,0.1277252523169528
high_q_freq,10.571359946197818,11.705940594059408,-1.1345806478615899,-0.12655713484760073,0.12655713484760073
gauge_lon,-77.22720888888888,-77.81052647058821,0.5833175816993332,0.12550073429149616,0.12550073429149616
carbonate_rocks_frac,0.10740919704467748,0.08424167854324276,0.023167518501434725,0.10101327945178243,0.10101327945178243
low_q_freq,81.90884421386366,85.82821782178219,-3.91937360791853,-0.0934405098983081,0.0934405098983081
slope_fdc,1.6352284780471658,1.6117304844471012,0.02349799360006455,0.09280331801286211,0.09280331801286211
gauge_lat,40.23704977777778,40.431986176470595,-0.19493639869281765,-0.08220553075577151,0.08220553075577151
stream_elas,1.614962925494744,1.5748084552344759,0.04015447026026808,0.07892363858459893,0.07892363858459893
root_depth_99,1.917410766189411,1.9041217696179475,0.01328899657146354,0.04954572900978636,0.04954572900978636
q5,0.1220758495676467,0.12722970159515215,-0.005153852027505457,-0.047275225580709096,0.047275225580709096
geol_porostiy,0.12723555555555555,0.13002450980392155,-0.0027889542483660046,-0.03726982581383313,0.03726982581383313
