gauge_id,dominant_forcing,dominant_peak_te,dominant_peak_lag,attribute,z_score,spearman_with_dom_forcing,driver_score,is_eligible
01013500,Tair,0.0048878833883407,14,p_mean,-0.0929092607715207,0.1930976504532903,0.0179405599603327,True
01013500,Tair,0.0048878833883407,14,pet_mean,-1.470002465480191,-0.33100295838245436,0.486575164903445,True
01013500,Tair,0.0048878833883407,14,p_seasonality,0.4345976215945523,-0.3832514164328453,0.1665601540544579,True
01013500,Tair,0.0048878833883407,14,frac_snow,0.6681985072552684,0.4611412196627666,0.3081338746125345,True
01013500,Tair,0.0048878833883407,14,aridity,-0.6921079392568464,-0.3028828737936886,0.20962764161754133,True
01013500,Tair,0.0048878833883407,14,high_prec_freq,-1.7559100498627087,-0.49198259549827844,0.863877183792967,True
01013500,Tair,0.0048878833883407,14,high_prec_dur,-0.004595250350164755,0.05730510745394193,0.00026333131509395554,False
01013500,Tair,0.0048878833883407,14,low_prec_freq,-1.4935712386472921,-0.5042259026899538,0.7530973060386833,True
01013500,Tair,0.0048878833883407,14,low_prec_dur,-0.7897229892503942,-0.20332178728048259,0.16056788963087548,True
01013500,Tair,0.0048878833883407,14,glim_1st_class_frac,0.1501614546145275,-0.16132956519953429,0.024225482182691323,True
01013500,Tair,0.0048878833883407,14,glim_2nd_class_frac,0.16908130025054752,0.12131062907607892,0.0205113588983953,True
01013500,Tair,0.0048878833883407,14,carbonate_rocks_frac,-0.455193183532494,-0.08608304891116515,0.03918441708205666,False
01013500,Tair,0.0048878833883407,14,geol_porostiy,0.6472628165656709,-0.12746828490565545,0.08250548111082993,True
01013500,Tair,0.0048878833883407,14,geol_permeability,-0.6891283765625841,-0.11331803481727837,0.07809067336889342,True
01013500,Tair,0.0048878833883407,14,q_mean,0.13298398754771368,0.4471181680232362,0.05945955688875859,True
01013500,Tair,0.0048878833883407,14,runoff_ratio,0.6701226589012125,0.5553458307095839,0.37214982468480895,True
01013500,Tair,0.0048878833883407,14,slope_fdc,0.5734490927683012,0.24155379220247628,0.13851880299325278,True
01013500,Tair,0.0048878833883407,14,baseflow_index,0.5775485054392137,0.22432852503503348,0.12956060436136682,True
01013500,Tair,0.0048878833883407,14,stream_elas,0.016873933812749712,-0.4285570935695305,0.007231444031876643,True
01013500,Tair,0.0048878833883407,14,q5,0.25709916150044915,0.36484871987007633,0.09380229995310889,True
01013500,Tair,0.0048878833883407,14,q95,0.26661125735463953,0.511109639295586,0.13626758357867244,True
01013500,Tair,0.0048878833883407,14,high_q_freq,-0.6756790697318172,-0.05595416484380431,0.03780705804928245,False
01013500,Tair,0.0048878833883407,14,high_q_dur,0.17894437746589065,0.015543923150092669,0.0027814976514709787,False
01013500,Tair,0.0048878833883407,14,low_q_freq,-0.8058173539172778,-0.13617704095386024,0.10973382280572444,True
01013500,Tair,0.0048878833883407,14,low_q_dur,-0.09756241733889445,-0.08146484763708614,0.007947907463618847,False
01013500,Tair,0.0048878833883407,14,zero_q_freq,-0.29841459198804116,-0.2931601419025676,0.08748326413301097,True
01013500,Tair,0.0048878833883407,14,hfd_mean,0.7374515453951336,-0.05305552708071464,0.039125880437426375,False
01013500,Tair,0.0048878833883407,14,soil_depth_pelletier,-0.21355963293948355,-0.2556899019572909,0.05460504160833158,True
01013500,Tair,0.0048878833883407,14,soil_depth_statsgo,-0.1657460387244766,-0.0728774183610284,0.012079143405806896,False
01013500,Tair,0.0048878833883407,14,soil_porosity,0.7856580925429639,-0.048393108343073636,0.038020437193044224,False
01013500,Tair,0.0048878833883407,14,soil_conductivity,-0.4164462188407763,0.20400609399787764,0.08495756646589214,True
01013500,Tair,0.0048878833883407,14,max_water_content,0.20458360479444315,-0.1014609844178975,0.020757253938206297,True
01013500,Tair,0.0048878833883407,14,sand_frac,-0.5519879375010834,0.10336881638027165,0.057058339755674356,True
01013500,Tair,0.0048878833883407,14,silt_frac,1.6072059289553127,0.12933787780819686,0.20787260405183175,True
01013500,Tair,0.0048878833883407,14,clay_frac,-0.38735497160780197,-0.2954000945228635,0.1144246952268458,True
01013500,Tair,0.0048878833883407,14,water_frac,5.628303754750983,0.037401686291137166,0.2105080513864257,False
01013500,Tair,0.0048878833883407,14,organic_frac,-0.04770510096249919,0.040658273401572916,0.0019396070375829314,False
01013500,Tair,0.0048878833883407,14,other_frac,-0.5838681799918696,0.10551762401334004,0.06160838308973524,True
01013500,Tair,0.0048878833883407,14,gauge_lat,1.5349322042268092,0.5055084779424147,0.77592124230349,True
01013500,Tair,0.0048878833883407,14,gauge_lon,1.678058851595827,-0.2545977267166403,0.42722996891303366,True
01013500,Tair,0.0048878833883407,14,elev_mean,-0.6477275438798152,0.2972975396459945,0.192567805156412,True
01013500,Tair,0.0048878833883407,14,slope_mean,-0.5210817095827431,0.4074221716624457,0.21230024173178105,True
01013500,Tair,0.0048878833883407,14,area_gages2,0.8578874922571427,-0.07375263890560185,0.06327146643807335,False
01013500,Tair,0.0048878833883407,14,area_geospa_fabric,0.8748542987993584,-0.07614818275205586,0.06661856502639522,False
01013500,Tair,0.0048878833883407,14,frac_forest,0.715878194747044,0.34588234943003254,0.24760963190483795,True
01013500,Tair,0.0048878833883407,14,lai_max,0.6258226486576479,0.08126709967302088,0.050858791566095005,False
01013500,Tair,0.0048878833883407,14,lai_diff,0.6688685116434484,0.0485498841750371,0.03247348876861887,False
01013500,Tair,0.0048878833883407,14,gvf_max,0.4899223354871689,0.13752085325978158,0.06737453760722044,True
01013500,Tair,0.0048878833883407,14,gvf_diff,0.32914573213178966,-0.054214304780123235,0.017844407038869647,False
