dominant_forcing,attribute,n_basins_in_top10,mean_driver_score,mean_rank,pct_basins_in_top10
PRCP,gvf_diff,248,0.2762077792227937,4.516129032258065,63.91752577319588
PRCP,gauge_lon,245,0.3250776650175396,4.155102040816327,63.144329896907216
PRCP,p_mean,224,0.4280091870909509,3.888392857142857,57.7319587628866
PRCP,q95,201,0.379043855255797,5.691542288557214,51.8041237113402
PRCP,hfd_mean,196,0.26764821200672184,5.98469387755102,50.51546391752577
PRCP,high_prec_dur,191,0.27780159391362363,5.026178010471204,49.22680412371134
PRCP,p_seasonality,187,0.3578205338421758,4.737967914438503,48.1958762886598
PRCP,aridity,187,0.3131533103753303,6.288770053475936,48.1958762886598
PRCP,slope_fdc,177,0.26843440646977185,5.169491525423729,45.618556701030926
PRCP,runoff_ratio,167,0.32227945667492763,6.095808383233533,43.04123711340206
PRCP,low_prec_freq,165,0.32958267248091444,5.866666666666666,42.52577319587629
PRCP,frac_forest,164,0.20887007390809956,6.286585365853658,42.2680412371134
PRCP,glim_2nd_class_frac,144,0.199188296505877,6.048611111111111,37.11340206185567
PRCP,q_mean,136,0.42264371370721926,6.485294117647059,35.05154639175258
PRCP,soil_depth_pelletier,129,0.271897625912585,4.0310077519379846,33.24742268041237
PRCP,glim_1st_class_frac,128,0.17839873170286633,7.0390625,32.98969072164948
PRCP,elev_mean,125,0.16728072960968615,6.72,32.21649484536083
PRCP,high_prec_freq,115,0.267815611759058,7.269565217391304,29.63917525773196
PRCP,sand_frac,102,0.20353909896124797,5.754901960784314,26.288659793814432
PRCP,gauge_lat,93,0.20618736687374847,6.204301075268817,23.969072164948454
PRCP,stream_elas,68,0.21972885916558432,6.044117647058823,17.52577319587629
PRCP,pet_mean,59,0.22739824632318312,6.033898305084746,15.206185567010309
PRCP,q5,58,0.40426090310161544,5.137931034482759,14.948453608247423
PRCP,soil_depth_statsgo,55,0.235539836492519,6.581818181818182,14.175257731958762
PRCP,carbonate_rocks_frac,54,0.2949063102996253,2.962962962962963,13.917525773195877
PRCP,root_depth_99,53,0.1875029757381362,6.811320754716981,13.65979381443299
PRCP,soil_conductivity,52,0.3710043199744393,4.6923076923076925,13.402061855670103
PRCP,frac_snow,29,0.16658038477913775,8.310344827586206,7.474226804123711
PRCP,area_gages2,28,0.500114013481433,3.5357142857142856,7.216494845360825
PRCP,zero_q_freq,28,0.48131568648874684,3.892857142857143,7.216494845360825
PRCP,gvf_max,26,0.149519133625635,8.923076923076923,6.701030927835052
PRCP,area_geospa_fabric,25,0.5059763244846596,4.08,6.443298969072165
PRCP,organic_frac,21,0.5920577498179925,3.380952380952381,5.412371134020619
SRAD,gauge_lon,115,0.433207906566135,4.3652173913043475,73.2484076433121
SRAD,slope_mean,101,0.46393684927111734,4.9405940594059405,64.3312101910828
SRAD,runoff_ratio,100,0.47948472302572914,4.44,63.69426751592356
SRAD,gvf_diff,95,0.3517716473764708,5.621052631578947,60.50955414012739
SRAD,high_prec_freq,94,0.44406859234483004,4.702127659574468,59.87261146496815
SRAD,frac_snow,85,0.5021748016365802,4.294117647058823,54.140127388535035
SRAD,elev_mean,81,0.5037658748963311,4.54320987654321,51.59235668789809
SRAD,q95,81,0.38276704372272735,6.45679012345679,51.59235668789809
SRAD,p_seasonality,80,0.49950343295593,4.425,50.955414012738856
SRAD,gauge_lat,78,0.35310306143684556,5.487179487179487,49.681528662420384
SRAD,low_prec_freq,72,0.3452735668340888,6.819444444444445,45.859872611464965
SRAD,frac_forest,67,0.29292633733133344,6.582089552238806,42.67515923566879
SRAD,glim_1st_class_frac,63,0.29240495413143175,6.0,40.12738853503185
SRAD,high_prec_dur,54,0.37587469551200425,5.2592592592592595,34.394904458598724
SRAD,baseflow_index,52,0.3192625941956026,6.0,33.12101910828026
SRAD,stream_elas,39,0.42085143643919604,4.923076923076923,24.840764331210192
SRAD,q_mean,36,0.36127772983405665,7.444444444444445,22.929936305732483
SRAD,glim_2nd_class_frac,36,0.24837534359452404,7.388888888888889,22.929936305732483
SRAD,clay_frac,33,0.32086279941506457,5.545454545454546,21.019108280254777
SRAD,q5,29,0.3870734307294609,5.310344827586207,18.471337579617835
SRAD,high_q_dur,23,0.4279235032761049,6.695652173913044,14.64968152866242
SRAD,soil_depth_pelletier,22,0.33224948618720923,5.636363636363637,14.012738853503185
SRAD,p_mean,20,0.28016433660160145,7.85,12.738853503184714
SRAD,root_depth_50,19,0.24430382814582335,6.421052631578948,12.101910828025478
SRAD,aridity,18,0.40707278411807957,6.444444444444445,11.464968152866241
SRAD,lai_diff,17,0.19512183769492464,7.411764705882353,10.828025477707007
SRAD,other_frac,16,0.39801417117815074,7.5625,10.19108280254777
SRAD,sand_frac,11,0.24828646172229682,7.181818181818182,7.006369426751593
SRAD,soil_conductivity,9,0.25887895537175604,7.666666666666667,5.732484076433121
SRAD,soil_porosity,9,0.22964308022962607,8.555555555555555,5.732484076433121
SRAD,carbonate_rocks_frac,8,0.3217431447328395,4.625,5.095541401273885
SRAD,zero_q_freq,7,0.6946313654720396,3.5714285714285716,4.45859872611465
Tair,frac_forest,78,0.34131616997499753,4.6923076923076925,82.10526315789474
Tair,low_prec_freq,71,0.4799017102279181,2.9577464788732395,74.73684210526316
Tair,gauge_lon,69,0.29198770187619694,4.840579710144928,72.63157894736842
Tair,gauge_lat,64,0.40833693884747313,4.796875,67.36842105263158
Tair,pet_mean,63,0.2955524038054709,5.888888888888889,66.3157894736842
Tair,high_prec_freq,58,0.41587588224623845,4.603448275862069,61.05263157894737
Tair,runoff_ratio,55,0.41983157211146827,4.381818181818182,57.89473684210526
Tair,stream_elas,50,0.39388360219249,4.3,52.63157894736842
Tair,slope_mean,50,0.35640050979854493,4.66,52.63157894736842
Tair,slope_fdc,41,0.269372563835663,7.0,43.1578947368421
Tair,aridity,41,0.2437033501477633,8.512195121951219,43.1578947368421
Tair,frac_snow,39,0.43728005912763845,4.769230769230769,41.05263157894737
Tair,q95,35,0.30079419946847974,6.6,36.8421052631579
Tair,clay_frac,31,0.34458905108419363,5.709677419354839,32.63157894736842
Tair,elev_mean,25,0.35439648417834696,6.24,26.31578947368421
Tair,soil_depth_pelletier,22,0.2883454250728516,6.590909090909091,23.157894736842106
Tair,q5,22,0.24457584735034707,7.2272727272727275,23.157894736842106
Tair,p_seasonality,21,0.39518545467312893,5.571428571428571,22.105263157894736
Tair,baseflow_index,19,0.3048437621750996,5.526315789473684,20.0
Tair,q_mean,19,0.28851277686962984,8.157894736842104,20.0
Tair,silt_frac,16,0.2139182613526282,8.375,16.842105263157894
Tair,geol_permeability,14,0.208520968398552,7.357142857142857,14.736842105263158
Tair,glim_1st_class_frac,13,0.20609784705037118,8.692307692307692,13.68421052631579
Tair,low_prec_dur,11,0.17885991249451255,9.181818181818182,11.578947368421053
Tair,geol_porostiy,6,0.19943238612975475,8.0,6.315789473684211
Tair,glim_2nd_class_frac,5,0.2099986104068691,6.0,5.2631578947368425
Tair,soil_conductivity,3,0.5932319428654833,4.0,3.1578947368421053
Tair,gvf_max,3,0.2535342081200078,8.666666666666666,3.1578947368421053
Tair,other_frac,2,0.3819912497786588,8.0,2.1052631578947367
Tair,low_q_freq,2,0.16123158524426776,8.5,2.1052631578947367
Tair,zero_q_freq,1,0.3683631740051031,6.0,1.0526315789473684
Tair,p_mean,1,0.24374203650962561,8.0,1.0526315789473684
VP,high_prec_freq,28,0.39982988709333955,4.035714285714286,90.3225806451613
VP,frac_forest,27,0.3330242975622398,4.592592592592593,87.09677419354838
VP,runoff_ratio,26,0.38025333247312393,4.961538461538462,83.87096774193549
VP,low_prec_freq,23,0.5586685518310426,2.391304347826087,74.19354838709677
VP,q95,21,0.32953812607706184,5.285714285714286,67.74193548387096
VP,slope_fdc,18,0.28449641110893276,5.055555555555555,58.064516129032256
VP,q_mean,16,0.2884459359635249,7.6875,51.61290322580645
VP,low_prec_dur,16,0.21718932066876553,6.625,51.61290322580645
VP,aridity,16,0.21372318577505667,7.625,51.61290322580645
VP,stream_elas,15,0.4135547174902279,4.2,48.38709677419355
VP,slope_mean,15,0.1914808863590693,7.133333333333334,48.38709677419355
VP,pet_mean,12,0.22712190063023596,6.75,38.70967741935484
VP,gauge_lat,11,0.3316099535885347,6.636363636363637,35.483870967741936
VP,clay_frac,10,0.41436421262811185,3.7,32.25806451612903
VP,frac_snow,10,0.21846732350552261,7.1,32.25806451612903
VP,silt_frac,9,0.2186616080824972,6.888888888888889,29.032258064516128
