forcing,attribute,n,r,abs_r,rank
SRAD,hfd_mean,512,-0.03168846315006012,0.03168846315006012,43
SRAD,area_geospa_fabric,513,-0.028518561271451026,0.028518561271451026,44
SRAD,high_q_dur,512,0.02739129961562054,0.02739129961562054,45
SRAD,area_gages2,513,-0.024684504750227772,0.024684504750227772,46
SRAD,geol_porostiy,510,-0.02196959284942667,0.02196959284942667,47
SRAD,soil_conductivity,513,0.016781994681654862,0.016781994681654862,48
SRAD,water_frac,513,-0.012256591443009465,0.012256591443009465,49
SRAD,lai_max,513,0.0069734051546005565,0.0069734051546005565,50
Tair,frac_snow,358,0.4649593441865611,0.4649593441865611,1
Tair,runoff_ratio,357,0.4649266944665961,0.4649266944665961,2
Tair,slope_mean,358,0.4423213750223811,0.4423213750223811,3
Tair,high_prec_freq,358,-0.43846326901773197,0.43846326901773197,4
Tair,stream_elas,357,-0.36935944706049517,0.36935944706049517,5
Tair,low_prec_freq,358,-0.3544932469314743,0.3544932469314743,6
Tair,elev_mean,358,0.3404446154551304,0.3404446154551304,7
Tair,q95,357,0.3295108163720035,0.3295108163720035,8
Tair,baseflow_index,358,0.3287286264955217,0.3287286264955217,9
Tair,other_frac,358,0.2751024333353432,0.2751024333353432,10
Tair,q_mean,357,0.27461954863557014,0.27461954863557014,11
Tair,p_seasonality,358,-0.2635584787173647,0.2635584787173647,12
Tair,glim_1st_class_frac,358,-0.2570225540432059,0.2570225540432059,13
Tair,clay_frac,358,-0.2516675523379005,0.2516675523379005,14
Tair,gvf_diff,358,-0.24684365771097305,0.24684365771097305,15
Tair,hfd_mean,357,0.24095428303815786,0.24095428303815786,16
Tair,q5,357,0.22919357658771172,0.22919357658771172,17
Tair,geol_porostiy,355,-0.22641500304942075,0.22641500304942075,18
Tair,root_depth_50,340,-0.22240599587887078,0.22240599587887078,19
Tair,lai_diff,358,-0.21850192772151902,0.21850192772151902,20
Tair,glim_2nd_class_frac,358,0.20749066232881885,0.20749066232881885,21
Tair,pet_mean,358,-0.17978096400398064,0.17978096400398064,22
Tair,gvf_max,358,-0.17829457687669734,0.17829457687669734,23
Tair,lai_max,358,-0.17243664954144045,0.17243664954144045,24
Tair,slope_fdc,357,0.1686762989054803,0.1686762989054803,25
Tair,soil_depth_pelletier,358,-0.16438744575074227,0.16438744575074227,26
Tair,high_prec_dur,358,0.15914518049298362,0.15914518049298362,27
Tair,root_depth_99,340,-0.15597748018500232,0.15597748018500232,28
Tair,frac_forest,358,0.14886040507377019,0.14886040507377019,29
Tair,zero_q_freq,357,-0.1469699498839409,0.1469699498839409,30
Tair,low_q_freq,357,-0.13568546291252226,0.13568546291252226,31
Tair,sand_frac,358,0.13041396318598494,0.13041396318598494,32
Tair,p_mean,358,0.11177366731417375,0.11177366731417375,33
Tair,soil_conductivity,358,0.11144250617463906,0.11144250617463906,34
Tair,area_gages2,358,0.10216199207843052,0.10216199207843052,35
Tair,area_geospa_fabric,358,0.1005100936217684,0.1005100936217684,36
Tair,aridity,358,-0.09662332827179376,0.09662332827179376,37
Tair,silt_frac,358,-0.09505031376573053,0.09505031376573053,38
Tair,low_prec_dur,358,-0.08835398862997512,0.08835398862997512,39
Tair,soil_porosity,358,-0.08358460889763467,0.08358460889763467,40
Tair,high_q_dur,357,0.07055223094578213,0.07055223094578213,41
Tair,water_frac,358,0.058253473930220886,0.058253473930220886,42
Tair,high_q_freq,357,-0.05228752343649603,0.05228752343649603,43
Tair,low_q_dur,357,0.04411335236458621,0.04411335236458621,44
Tair,max_water_content,358,-0.04045519619946633,0.04045519619946633,45
Tair,geol_permeability,358,0.03665622688454342,0.03665622688454342,46
Tair,organic_frac,358,0.03382108544595897,0.03382108544595897,47
Tair,soil_depth_statsgo,358,0.027699703953425733,0.027699703953425733,48
Tair,dom_land_cover_frac,358,-0.023228571870935567,0.023228571870935567,49
Tair,carbonate_rocks_frac,358,-0.019693852426841886,0.019693852426841886,50
VP,frac_snow,388,0.5322370810153582,0.5322370810153582,1
VP,elev_mean,388,0.4206189040757966,0.4206189040757966,2
VP,runoff_ratio,388,0.4062293552482278,0.4062293552482278,3
VP,slope_mean,388,0.4033583293444769,0.4033583293444769,4
VP,high_prec_freq,388,-0.3727318249442233,0.3727318249442233,5
VP,stream_elas,388,-0.3257260506639694,0.3257260506639694,6
VP,hfd_mean,388,0.3202965835866454,0.3202965835866454,7
VP,other_frac,388,0.29373857154107885,0.29373857154107885,8
VP,low_prec_freq,388,-0.2794266384018922,0.2794266384018922,9
VP,baseflow_index,388,0.2738066524416708,0.2738066524416708,10
VP,q95,388,0.2270367028547752,0.2270367028547752,11
VP,clay_frac,388,-0.22567123098366457,0.22567123098366457,12
VP,glim_1st_class_frac,388,-0.20882849901027328,0.20882849901027328,13
VP,root_depth_50,370,-0.20794239693367828,0.20794239693367828,14
VP,p_seasonality,388,-0.2050586769819011,0.2050586769819011,15
VP,zero_q_freq,388,-0.19896993590468634,0.19896993590468634,16
VP,geol_porostiy,386,-0.17982726859100995,0.17982726859100995,17
