forcing,rank,attribute,n_TE,r_TE,abs_r_TE
PRCP,1,q95,669,0.43979275899332004,0.43979275899332004
PRCP,2,runoff_ratio,669,0.3993251696584298,0.3993251696584298
PRCP,3,q_mean,669,0.3876849501511715,0.3876849501511715
PRCP,4,low_prec_freq,670,-0.3799615165603679,0.3799615165603679
PRCP,5,high_prec_freq,670,-0.3631380261180746,0.3631380261180746
PRCP,6,p_mean,670,0.3155081571791582,0.3155081571791582
PRCP,7,p_seasonality,670,-0.289451016735889,0.289451016735889
PRCP,8,aridity,670,-0.24981582820279535,0.24981582820279535
PRCP,9,q5,669,0.24837027237658021,0.24837027237658021
PRCP,10,slope_mean,670,0.23547123126052294,0.23547123126052294
PRCP,11,frac_forest,670,0.2212849159805068,0.2212849159805068
PRCP,12,slope_fdc,669,0.2119806132884341,0.2119806132884341
PRCP,13,pet_mean,670,-0.20492889238349868,0.20492889238349868
PRCP,14,stream_elas,669,-0.19731750252683078,0.19731750252683078
PRCP,15,frac_snow,670,0.15629511683076647,0.15629511683076647
PRCP,16,zero_q_freq,669,-0.15083483782301163,0.15083483782301163
PRCP,17,clay_frac,670,-0.1422156008568315,0.1422156008568315
PRCP,18,gvf_max,670,0.1418116770901085,0.1418116770901085
PRCP,19,gvf_diff,670,-0.13205354153994836,0.13205354153994836
PRCP,20,low_prec_dur,670,-0.1314331301638299,0.1314331301638299
PRCP,21,hfd_mean,669,-0.12812160807413253,0.12812160807413253
PRCP,22,baseflow_index,670,0.12356532313032874,0.12356532313032874
PRCP,23,high_prec_dur,670,0.11847323943101112,0.11847323943101112
PRCP,24,glim_1st_class_frac,670,-0.10932413179554122,0.10932413179554122
PRCP,25,dom_land_cover_frac,670,0.10761371847758076,0.10761371847758076
PRCP,26,silt_frac,670,0.10675118205852392,0.10675118205852392
PRCP,27,lai_max,670,0.10197637394538629,0.10197637394538629
PRCP,28,low_q_freq,669,-0.09050915019237135,0.09050915019237135
PRCP,29,glim_2nd_class_frac,670,0.0892190545932723,0.0892190545932723
PRCP,30,elev_mean,670,0.08213680220178543,0.08213680220178543
PRCP,31,high_q_freq,669,-0.08200248435594312,0.08200248435594312
PRCP,32,carbonate_rocks_frac,670,-0.08116307879086149,0.08116307879086149
PRCP,33,geol_permeability,670,-0.07826021497448005,0.07826021497448005
PRCP,34,high_q_dur,669,-0.07503471801393985,0.07503471801393985
PRCP,35,area_gages2,670,0.05639915903553082,0.05639915903553082
PRCP,36,area_geospa_fabric,670,0.056067837199316614,0.056067837199316614
PRCP,37,sand_frac,670,0.034528419791131776,0.034528419791131776
PRCP,38,low_q_dur,669,-0.03420083620751551,0.03420083620751551
PRCP,39,geol_porostiy,667,-0.029501052119064675,0.029501052119064675
PRCP,40,soil_conductivity,670,0.028180547564751034,0.028180547564751034
PRCP,41,organic_frac,670,0.02789519131720795,0.02789519131720795
PRCP,42,water_frac,670,0.027344789537612685,0.027344789537612685
PRCP,43,root_depth_50,646,0.018951346102403014,0.018951346102403014
PRCP,44,soil_porosity,670,0.01791488790921081,0.01791488790921081
PRCP,45,other_frac,670,0.013927873108707233,0.013927873108707233
PRCP,46,soil_depth_pelletier,670,-0.011859219423387671,0.011859219423387671
PRCP,47,root_depth_99,646,-0.011115704550563238,0.011115704550563238
PRCP,48,soil_depth_statsgo,670,-0.010058222235332082,0.010058222235332082
PRCP,49,max_water_content,670,-0.008280937644550401,0.008280937644550401
PRCP,50,lai_diff,670,-0.0061883331100187015,0.0061883331100187015
SRAD,1,q95,652,0.6055796567385408,0.6055796567385408
SRAD,2,runoff_ratio,652,0.5607286163580988,0.5607286163580988
SRAD,3,q_mean,652,0.5325802187808325,0.5325802187808325
SRAD,4,high_prec_freq,653,-0.45771886060180184,0.45771886060180184
SRAD,5,slope_mean,653,0.43082591359578726,0.43082591359578726
SRAD,6,p_seasonality,653,-0.42573427359063815,0.42573427359063815
SRAD,7,low_prec_freq,653,-0.41373409183651355,0.41373409183651355
SRAD,8,p_mean,653,0.3793071194525224,0.3793071194525224
SRAD,9,q5,652,0.293213655804436,0.293213655804436
SRAD,10,gvf_diff,653,-0.2905483731630155,0.2905483731630155
SRAD,11,stream_elas,652,-0.28284545456478427,0.28284545456478427
SRAD,12,high_prec_dur,653,0.27700811643384715,0.27700811643384715
SRAD,13,frac_snow,653,0.26903262182495336,0.26903262182495336
SRAD,14,slope_fdc,652,0.2501632145844428,0.2501632145844428
SRAD,15,elev_mean,653,0.23658193868917238,0.23658193868917238
SRAD,16,pet_mean,653,-0.22505189423469174,0.22505189423469174
SRAD,17,aridity,653,-0.22309149351479468,0.22309149351479468
SRAD,18,frac_forest,653,0.2218009274440495,0.2218009274440495
SRAD,19,glim_1st_class_frac,653,-0.19940347870381508,0.19940347870381508
SRAD,20,baseflow_index,653,0.15926337530245882,0.15926337530245882
SRAD,21,soil_depth_pelletier,653,-0.15766157953250062,0.15766157953250062
SRAD,22,glim_2nd_class_frac,653,0.15440988168102068,0.15440988168102068
SRAD,23,other_frac,653,0.14774270556564145,0.14774270556564145
SRAD,24,dom_land_cover_frac,653,0.13884308499347003,0.13884308499347003
SRAD,25,clay_frac,653,-0.13165733478190017,0.13165733478190017
SRAD,26,lai_diff,653,-0.13117742571153665,0.13117742571153665
SRAD,27,zero_q_freq,652,-0.11734306843140181,0.11734306843140181
SRAD,28,root_depth_50,629,-0.11461049004023438,0.11461049004023438
SRAD,29,carbonate_rocks_frac,653,-0.1018751081672462,0.1018751081672462
SRAD,30,max_water_content,653,-0.09799713782059963,0.09799713782059963
SRAD,31,silt_frac,653,0.08577357877309275,0.08577357877309275
SRAD,32,soil_depth_statsgo,653,-0.08262611543254214,0.08262611543254214
SRAD,33,hfd_mean,652,-0.07537349232097333,0.07537349232097333
SRAD,34,low_q_dur,652,0.07045728665996252,0.07045728665996252
SRAD,35,root_depth_99,629,-0.06711993568359771,0.06711993568359771
SRAD,36,low_prec_dur,653,-0.056327726716524466,0.056327726716524466
SRAD,37,geol_permeability,653,-0.04392607463708895,0.04392607463708895
SRAD,38,gvf_max,653,0.042545647265406626,0.042545647265406626
SRAD,39,low_q_freq,652,-0.03951475802459799,0.03951475802459799
SRAD,40,high_q_freq,652,-0.03697009247304167,0.03697009247304167
SRAD,41,geol_porostiy,650,-0.02778397732125269,0.02778397732125269
SRAD,42,organic_frac,653,-0.025534376875293245,0.025534376875293245
SRAD,43,soil_porosity,653,-0.021505198122448606,0.021505198122448606
SRAD,44,water_frac,653,0.019268075910167604,0.019268075910167604
SRAD,45,sand_frac,653,0.017535518248170127,0.017535518248170127
SRAD,46,lai_max,653,0.011729492040328025,0.011729492040328025
SRAD,47,high_q_dur,652,-0.005381193460624319,0.005381193460624319
SRAD,48,area_gages2,653,0.0023116323880220603,0.0023116323880220603
SRAD,49,soil_conductivity,653,0.002182704036469866,0.002182704036469866
SRAD,50,area_geospa_fabric,653,0.0012463775004104088,0.0012463775004104088
Tair,1,high_prec_freq,593,-0.4762285028636926,0.4762285028636926
Tair,2,runoff_ratio,592,0.4744980385065105,0.4744980385065105
Tair,3,q95,592,0.4707789225275498,0.4707789225275498
Tair,4,low_prec_freq,593,-0.46321621686065917,0.46321621686065917
Tair,5,q_mean,592,0.40263644760939926,0.40263644760939926
Tair,6,p_mean,593,0.29193451383962477,0.29193451383962477
Tair,7,stream_elas,592,-0.27926259232476813,0.27926259232476813
Tair,8,p_seasonality,593,-0.2709067567797623,0.2709067567797623
Tair,9,slope_fdc,592,0.2705836392489416,0.2705836392489416
Tair,10,slope_mean,593,0.26762875219044313,0.26762875219044313
Tair,11,pet_mean,593,-0.25060081277657054,0.25060081277657054
Tair,12,aridity,593,-0.2349806497257499,0.2349806497257499
Tair,13,frac_snow,593,0.2294131867959086,0.2294131867959086
Tair,14,frac_forest,593,0.22428680340892024,0.22428680340892024
Tair,15,q5,592,0.20555978447034715,0.20555978447034715
Tair,16,low_prec_dur,593,-0.16134875584022038,0.16134875584022038
Tair,17,zero_q_freq,592,-0.1481955184052555,0.1481955184052555
Tair,18,elev_mean,593,0.1458326826484525,0.1458326826484525
Tair,19,glim_1st_class_frac,593,-0.1397625223676407,0.1397625223676407
